id,description
1,"See description under subject 2.00A[J]. Enrollment limited; preference to freshmen."
2,"The fundamental concepts and approaches of aerospace engineering are highlighted through lectures on aeronautics, astronautics, and design. Active learning aerospace modules make use of information technology. Student teams are immersed in a hands-on, lighter-than-air (LTA) vehicle design project where they design, build, and fly radio-controlled LTA vehicles. The connections between theory and practice are realized in the design exercises. Required design reviews precede the LTA race competition. The performance, weight, and principle characteristics of the LTA vehicles are estimated and illustrated using physics, mathematics, and chemistry known to freshmen, the emphasis being on the application of this knowledge to aerospace engineering and design rather than on exposure to new science and mathematics. Includes exercises in written and oral communication and team building."
3,"Presents fundamental principles and methods of materials and structures for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include statics; analysis of trusses; analysis of statically determinate and indeterminate systems; stress-strain behavior of materials; analysis of beam bending, buckling, and torsion; material and structural failure, including plasticity, fracture, fatigue, and their physical causes. Experiential lab and aerospace system projects provide additional aerospace context."
4,"Presents fundamental principles and methods of signals and systems for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include linear and time invariant systems; convolution; transform analysis; and modulation, filtering, and sampling. Experiential lab and aerospace system projects provide additional aerospace context."
5,"Presents fundamental principles and methods of fluid dynamics for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include aircraft and aerodynamic performance, conservation laws for fluid flows, quasi-one-dimensional compressible flows, shock and expansion waves, streamline curvature, potential flow modeling, an introduction to three-dimensional wings and induced drag. Experiential lab and aerospace system projects provide additional aerospace context."
6,"Presents fundamental principles and methods of thermodynamics for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include thermodynamic state of a system, forms of energy, work, heat, the first law of thermodynamics, heat engines, reversible and irreversible processes, entropy and the second law of thermodynamics, ideal and non-ideal cycle analysis, two-phase systems, and introductions to thermochemistry and heat transfer. Experiential lab and aerospace system projects provide additional aerospace context."
7,"Introduction to design of feedback control systems. Properties and advantages of feedback systems. Time-domain and frequency-domain performance measures. Stability and degree of stability. Root locus method, Nyquist criterion, frequency-domain design, and some state space methods. Strong emphasis on the synthesis of classical controllers. Application to a variety of aerospace systems. Hands-on experiments using simple robotic systems."
8,"Fundamentals of Newtonian mechanics. Kinematics, particle dynamics, motion relative to accelerated reference frames, work and energy, impulse and momentum, systems of particles and rigid body dynamics. Applications to aerospace engineering including introductory topics in orbital mechanics, flight dynamics, inertial navigation and attitude dynamics."
9,"Introduction to statistics and probability with applications to aerospace engineering. Covers essential topics, such as sample space, discrete and continuous random variables, probability distributions, joint and conditional distributions, expectation, transformation of random variables, limit theorems, estimation theory, hypothesis testing, confidence intervals, statistical tests, and regression."
10,"Extends fluid mechanic concepts from Unified Engineering to aerodynamic performance of wings and bodies in sub/supersonic regimes. Addresses themes such as subsonic potential flows, including source/vortex panel methods; viscous flows, including laminar and turbulent boundary layers; aerodynamics of airfoils and wings, including thin airfoil theory, lifting line theory, and panel method/interacting boundary layer methods; and supersonic and hypersonic airfoil theory. Material may vary from year to year depending upon focus of design problem."
11,"Provides credit for work on material in fluids or propulsion outside of regularly scheduled subjects. Intended for study abroad under either the department's Year Abroad Program or the Cambridge-MIT Exchange Program. Credit may be used to satisfy specific SB degree requirements. Requires prior approval. Consult department."
